,url,title,author,num_ratings,avg_rating,minmax_norm_ratings,mean_norm_ratings,num_pages,original_publish_year,series,genres,awards,places
875,https://www.goodreads.com/book/show/95819.The_Poetry_of_Robert_Frost,The Poetry of Robert Frost,Robert Frost,50693.0,4.24,5.76,1.94,607.0,1930,0,None,Pulitzer Prize for Poetry (1931),None
876,https://www.goodreads.com/book/show/41424.Beauty,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,76772.0,4.05,4.66,0.83,256.0,1978,1,"Fantasy, Young Adult, Romance, ","Vermont Golden Dome Book Award Nominee (1980), Phoenix Award (Children's Literature Association) Nominee (1998)",None
877,https://www.goodreads.com/book/show/16729.Beach_Music,Beach Music,Pat Conroy,45936.0,4.17,5.35,1.53,800.0,1995,0,FictionAmerican > SouthernContemporary,No Award,United States
878,https://www.goodreads.com/book/show/13517535-thoughtless,"Thoughtless (Thoughtless, #1)",S.C. Stephens,137502.0,4.09,4.89,1.06,530.0,2009,1,"Romance, New Adult, Contemporary",SKoW Award for Best M-Rated (2010),None
879,https://www.goodreads.com/book/show/12395.Journey_to_the_End_of_the_Night,Journey to the End of the Night,Louis-Ferdinand CÇ¸line,35786.0,4.21,5.59,1.76,453.0,1932,1,"Fiction, ClassicsCultural > France","Prix Renaudot (1932), ×?Ø×ñ×ý×æ×î×¨ ×?×¨×ü×¨Ø?×æØ?×«×û×§×©Ø? ×?×æØ?×ªØ?Ø×ñØ×úØ? ×?×?×?×?×?×? Nominee for ×?×ñ×¯×¯Ø?Ø?Ø?×«×ú ×?×¨×ü×¨Ø?×æØ?×«×î×ñ (2008)",France
880,https://www.goodreads.com/book/show/7437.Naked_Lunch,Naked Lunch,William S. Burroughs,85476.0,3.45,1.17,-2.65,289.0,1959,None,"Fiction, Classics, Literature",None,None
881,https://www.goodreads.com/book/show/529626.Sometimes_a_Great_Notion,Sometimes a Great Notion,Ken Kesey,20938.0,4.24,5.76,1.94,640.0,1964,0,FictionClassicsLiterature,No Award,United States
882,https://www.goodreads.com/book/show/2122.The_Fountainhead,The Fountainhead,Ayn Rand,308273.0,3.88,3.67,-0.16,704.0,1943,0,None,No Award,United States
883,https://www.goodreads.com/book/show/3466.The_Wedding,"The Wedding (The Notebook, #2)",Nicholas Sparks,148235.0,3.98,4.25,0.43,276.0,2003,1,"Romance, FictionWomens Fiction > Chick Lit",No Award,None
884,https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,122747.0,4.01,4.43,0.6,462.0,2003,1,"Fantasy, Young Adult, Fiction","Mythopoeic Fantasy Award for Children's Literature (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2005)",United Kingdom
885,https://www.goodreads.com/book/show/23878688-the-5-love-languages,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,353040.0,4.26,5.88,2.05,232.0,1990,0,None,Audie Award for Personal Development/Motivational (2006),None
886,https://www.goodreads.com/book/show/976.Deception_Point,Deception Point,Dan Brown,630941.0,3.73,2.8,-1.03,556.0,2001,0,None,No Award,United States
887,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao,The Brief Wondrous Life of Oscar Wao,Junot DÇðaz,245871.0,3.89,3.73,-0.1,335.0,2007,0,"Fiction, ContemporaryMagical Realism","Pulitzer Prize for Fiction (2008), Anisfield-Wolf Book Award (2008), Massachusetts Book Award for Fiction (2008), Los Angeles Times Book Prize Nominee for Fiction (2007), Dayton Literary Peace Prize for Fiction (2008)   National Book Critics Circle Award for Fiction (2007), Hurston/Wright Legacy Award for Fiction (2008), International Dublin Literary Award Nominee (2009), The Rooster -- The Morning News Tournament of Books (2008), The Center for Fiction (2007)",United States
888,https://www.goodreads.com/book/show/30659.Meditations,Meditations,Marcus Aurelius,164739.0,4.24,5.76,1.94,303.0,180,0,"Philosophy, Nonfiction, Classics, ",No Award,Roman Empire
889,https://www.goodreads.com/book/show/111332.Into_the_Wild,"Into the Wild (Warriors, #1)",Erin Hunter,85889.0,4.3,6.11,2.28,288.0,2003,1,"Fantasy, AnimalsFiction",No Award,The Forest
890,https://www.goodreads.com/book/show/38180.On_the_Beach,On the Beach,Nevil Shute,38946.0,3.95,4.08,0.25,296.0,1957,0,"Fiction, Science FictionApocalyptic > Post Apocalyptic",No Award,Australia
891,https://www.goodreads.com/book/show/2702704-faefever,"Faefever (Fever, #3)",Karen Marie Moning,98034.0,4.29,6.05,2.23,327.0,2008,1,"Fantasy > Urban Fantasy, Fantasy > Paranormal, Fantasy, ",No Award,Ireland
892,https://www.goodreads.com/book/show/99944.The_Bhagavad_Gita,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,61161.0,4.15,5.24,1.41,160.0,-400,0,"Religion, Philosophy, Classics",No Award,India
893,https://www.goodreads.com/book/show/11918.Bitten,"Bitten (Otherworld, #1)",Kelley Armstrong,99152.0,4.02,4.48,0.66,436.0,2001,None,"Fantasy > Urban Fantasy, Fantasy, Fantasy > Paranormal, ",None,Canada
894,https://www.goodreads.com/book/show/140075.All_Together_Dead,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,194995.0,4.04,4.6,0.77,336.0,2007,1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",No Award,United States
895,https://www.goodreads.com/book/show/5096.Wizard_and_Glass,"Wizard and Glass (The Dark Tower, #4)",Stephen King,178974.0,4.24,5.76,1.94,845.0,2003,1,"Fantasy, Fiction, Horror, ",No Award,None
896,https://www.goodreads.com/book/show/2233407.From_Dead_to_Worse,"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,182744.0,4.0,4.37,0.54,368.0,2008,None,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",None,United States
897,https://www.goodreads.com/book/show/13047090-onyx,"Onyx (Lux, #2)",Jennifer L. Armentrout,167591.0,4.25,5.82,1.99,421.0,2012,1,"Young Adult, Fantasy > Paranormal, Fantasy, ",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),United States
898,https://www.goodreads.com/book/show/310459.Roll_of_Thunder_Hear_My_Cry,"Roll of Thunder, Hear My Cry (Logans, #4)",Mildred D. Taylor,118616.0,3.86,3.55,-0.27,288.0,1976,1,None,"Newbery Medal (1977), Buxtehuder Bulle (1984), George C. Stone Center for Children's Books Recognition of Merit Award (1991), Jane Addams Children's Book Award Nominee (1977), Los Angeles Times Book Prize for Young Adult Fiction (2001)   Vermont Golden Dome Book Award Nominee (1978), Coretta Scott King Book Award for Author Honor (1977), Pacific Northwest Library Association Young Reader's Choice Award (1979), Boston Globe-Horn Book Award Nominee for Fiction (1977), California Young Readers Medal Nominee for Middle School/Junior High (1980), National Book Award Finalist for Children's Literature (1977)",United States
899,https://www.goodreads.com/book/show/5161066-dead-and-gone,Dead and Gone (Sookie Stackhouse #9),Charlaine Harris,182700.0,4.01,4.43,0.6,320.0,2009,1,"Fantasy, Paranormal > Vampires, Fantasy > Paranormal, ",Goodreads Choice Award for Fantasy (2009),United States
900,https://www.goodreads.com/book/show/9369720-passion,"Passion (Fallen, #3)",Lauren Kate,161119.0,3.86,3.55,-0.27,420.0,2011,1,None,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011)",United States
